16:26:33[Sound][error]-sounds.json | individual_event_sounds | events | chest.close | Event name 'chest.close' is not a valid LevelSoundEvent

16:27:10[Scripting][verbose]-Plugin Discovered [Dragon sword] PackId [acdd5b56-7b7d-405b-bcdf-13e85e2beaaf_8.0.0] ModuleId [497ce0f6-6b3e-45b1-b4b3-f4529febec18]

16:27:10[Scripting][verbose]-Plugin [Dragon sword] - promoted [@minecraft/server] from [2.0.0] to [2.9.0] requested by [@minecraft/server-ui-bindings - 2.1.0].

16:27:10[Scripting][verbose]-Plugin [Dragon sword] - promoted [@minecraft/server-bindings] from [2.0.0] to [2.9.0] requested by [@minecraft/server - 2.0.0].

16:27:10[Scripting][error]-[Dragon sword] SyntaxError: unexpected character    at modules/land_claims/main.js:56
16:27:15[Blocks][warning]-minecraft:sandstone_wall | 'minecraft:sandstone_wall' | Invalid blockshape name.

16:27:15[Blocks][warning]-minecraft:brick_wall | 'minecraft:brick_wall' | Invalid blockshape name.

16:27:15[Blocks][warning]-minecraft:stone_brick_wall | 'minecraft:stone_brick_wall' | Invalid blockshape name.

16:27:15[Blocks][warning]-minecraft:mossy_stone_brick_wall | 'minecraft:mossy_stone_brick_wall' | Invalid blockshape name.

16:27:15[Blocks][warning]-minecraft:nether_brick_wall | 'minecraft:nether_brick_wall' | Invalid blockshape name.

16:27:15[Blocks][warning]-minecraft:end_stone_brick_wall | 'minecraft:end_stone_brick_wall' | Invalid blockshape name.

16:27:15[Blocks][warning]-minecraft:prismarine_wall | 'minecraft:prismarine_wall' | Invalid blockshape name.

16:27:15[Blocks][warning]-minecraft:red_sandstone_wall | 'minecraft:red_sandstone_wall' | Invalid blockshape name.

16:27:15[Blocks][warning]-minecraft:red_nether_brick_wall | 'minecraft:red_nether_brick_wall' | Invalid blockshape name.

16:27:17[Sound][inform]-No sound found for block type 'normal'

16:27:17[Sound][inform]-No sound found for block type 'normal'

16:27:17[Sound][inform]-No sound found for block type 'normal'

16:27:17[Sound][inform]-No sound found for block type 'normal'

16:27:17[Sound][inform]-No sound found for block type 'normal'

16:27:18[Sound][inform]-No sound found for block type 'normal'

16:27:18[Sound][inform]-No sound found for block type 'normal'

16:27:18[Sound][inform]-No sound found for block type 'normal'

16:27:18[Sound][inform]-No sound found for block type 'normal'

16:27:18[Sound][inform]-No sound found for block type 'normal'

16:27:19[Sound][inform]-No sound found for block type 'normal'

16:27:19[Sound][inform]-No sound found for block type 'normal'

16:27:19[Sound][inform]-No sound found for block type 'normal'

16:27:19[Sound][inform]-No sound found for block type 'normal'

16:27:19[Sound][inform]-No sound found for block type 'normal'

16:27:19[Sound][inform]-No sound found for block type 'normal'

16:27:20[Sound][inform]-No sound found for block type 'normal'

16:27:20[Sound][inform]-No sound found for block type 'normal'

16:27:20[Sound][inform]-No sound found for block type 'normal'

16:27:20[Sound][inform]-No sound found for block type 'normal'

16:27:20[Sound][inform]-No sound found for block type 'normal'

16:27:20[Sound][inform]-No sound found for block type 'normal'

16:27:21[Sound][inform]-No sound found for block type 'normal'

16:27:21[Sound][inform]-No sound found for block type 'normal'

16:27:21[Sound][inform]-No sound found for block type 'normal'

16:27:21[Sound][inform]-No sound found for block type 'normal'

16:27:21[Sound][inform]-No sound found for block type 'normal'

16:27:22[Sound][inform]-No sound found for block type 'normal'

16:27:22[Sound][inform]-No sound found for block type 'normal'

16:27:22[Sound][inform]-No sound found for block type 'normal'

16:27:22[Sound][inform]-No sound found for block type 'normal'

16:27:22[Sound][inform]-No sound found for block type 'normal'

16:27:23[Sound][inform]-No sound found for block type 'normal'

16:27:23[Sound][inform]-No sound found for block type 'normal'

16:27:23[Sound][inform]-No sound found for block type 'normal'

16:27:23[Sound][inform]-No sound found for block type 'normal'

16:27:23[Sound][inform]-No sound found for block type 'normal'

16:27:23[Sound][inform]-No sound found for block type 'normal'

16:27:23[Sound][inform]-No sound found for block type 'normal'

16:27:23[Sound][inform]-No sound found for block type 'normal'

16:27:24[Sound][inform]-No sound found for block type 'normal'

16:27:24[Sound][inform]-No sound found for block type 'normal'

16:27:24[Sound][inform]-No sound found for block type 'normal'

16:27:24[Sound][inform]-No sound found for block type 'normal'

16:27:24[Sound][inform]-No sound found for block type 'normal'

16:27:24[Sound][inform]-No sound found for block type 'normal'

16:27:24[Sound][inform]-No sound found for block type 'normal'

16:27:25[Sound][inform]-No sound found for block type 'normal'

16:27:25[Sound][inform]-No sound found for block type 'normal'

16:27:25[Sound][inform]-No sound found for block type 'normal'

16:27:25[Sound][inform]-No sound found for block type 'normal'

16:27:25[Sound][inform]-No sound found for block type 'normal'

16:27:25[Sound][inform]-No sound found for block type 'normal'

16:27:25[Sound][inform]-No sound found for block type 'normal'

16:27:26[Sound][inform]-No sound found for block type 'normal'

16:27:26[Sound][inform]-No sound found for block type 'normal'

16:27:26[Sound][inform]-No sound found for block type 'normal'

16:27:26[Sound][inform]-No sound found for block type 'normal'

16:27:26[Sound][inform]-No sound found for block type 'normal'

16:27:27[Sound][inform]-No sound found for block type 'normal'

16:27:27[Sound][inform]-No sound found for block type 'normal'

16:27:27[Sound][inform]-No sound found for block type 'normal'

16:27:27[Sound][inform]-No sound found for block type 'normal'

16:27:27[Sound][inform]-No sound found for block type 'normal'

16:27:27[Sound][inform]-No sound found for block type 'normal'

16:27:27[Sound][inform]-No sound found for block type 'normal'

16:27:27[Sound][inform]-No sound found for block type 'normal'

16:27:28[Sound][inform]-No sound found for block type 'normal'

16:27:28[Sound][inform]-No sound found for block type 'normal'

16:27:28[Sound][inform]-No sound found for block type 'normal'

16:27:28[Sound][inform]-No sound found for block type 'normal'

16:27:28[Sound][inform]-No sound found for block type 'normal'

16:27:28[Sound][inform]-No sound found for block type 'normal'

16:27:28[Sound][inform]-No sound found for block type 'normal'

16:27:28[Sound][inform]-No sound found for block type 'normal'

16:27:28[Sound][inform]-No sound found for block type 'normal'

16:27:28[Sound][inform]-No sound found for block type 'normal'

16:27:29[Sound][inform]-No sound found for block type 'normal'

16:27:29[Sound][inform]-No sound found for block type 'normal'

16:27:29[Sound][inform]-No sound found for block type 'normal'

16:27:29[Sound][inform]-No sound found for block type 'normal'

16:27:30[Sound][inform]-No sound found for block type 'normal'

16:27:30[Sound][inform]-No sound found for block type 'normal'

16:27:30[Sound][inform]-No sound found for block type 'normal'

16:27:30[Sound][inform]-No sound found for block type 'normal'

16:27:30[Sound][inform]-No sound found for block type 'normal'

16:27:31[Sound][inform]-No sound found for block type 'normal'

16:27:31[Sound][inform]-No sound found for block type 'normal'

16:27:31[Sound][inform]-No sound found for block type 'normal'

16:27:32[Sound][inform]-No sound found for block type 'normal'

16:27:33[Sound][inform]-No sound found for block type 'normal'

16:27:33[Sound][inform]-No sound found for block type 'normal'

16:27:33[Sound][inform]-No sound found for block type 'normal'

16:27:34[Sound][inform]-No sound found for block type 'wood'

16:27:34[Sound][inform]-No sound found for block type 'normal'

16:27:34[Sound][inform]-No sound found for block type 'normal'

16:27:34[Sound][inform]-No sound found for block type 'normal'

16:27:34[Sound][inform]-No sound found for block type 'normal'

16:27:35[Sound][inform]-No sound found for block type 'normal'

16:27:35[Sound][inform]-No sound found for block type 'normal'

16:27:35[Sound][inform]-No sound found for block type 'wood'

16:27:35[Sound][inform]-No sound found for block type 'normal'

16:27:35[Sound][inform]-No sound found for block type 'wood'

16:27:36[Sound][inform]-No sound found for block type 'normal'

16:27:36[Sound][inform]-No sound found for block type 'normal'

16:27:36[Sound][inform]-No sound found for block type 'normal'

16:27:36[Sound][inform]-No sound found for block type 'wood'

16:27:36[Sound][inform]-No sound found for block type 'normal'

16:27:36[Sound][inform]-No sound found for block type 'normal'

16:27:36[Sound][inform]-No sound found for block type 'wood'

16:27:37[Sound][inform]-No sound found for block type 'normal'

16:27:37[Sound][inform]-No sound found for block type 'wood'

16:27:37[Sound][inform]-No sound found for block type 'normal'

16:27:37[Sound][inform]-No sound found for block type 'normal'

16:27:37[Sound][inform]-No sound found for block type 'normal'

16:27:38[Sound][inform]-No sound found for block type 'normal'

16:27:38[Sound][inform]-No sound found for block type 'wood'

16:27:38[Sound][inform]-No sound found for block type 'normal'

16:27:38[Sound][inform]-No sound found for block type 'normal'

16:27:39[Sound][inform]-No sound found for block type 'normal'

16:27:39[Sound][inform]-No sound found for block type 'normal'

16:27:39[Sound][inform]-No sound found for block type 'normal'

16:27:39[Sound][inform]-No sound found for block type 'normal'

16:27:39[Sound][inform]-No sound found for block type 'normal'

16:27:40[Sound][inform]-No sound found for block type 'wood'

16:27:40[Sound][inform]-No sound found for block type 'normal'

16:27:40[Sound][inform]-No sound found for block type 'normal'

16:27:40[Sound][inform]-No sound found for block type 'normal'

16:27:41[Sound][inform]-No sound found for block type 'normal'

16:27:41[Sound][inform]-No sound found for block type 'normal'

16:27:41[Sound][inform]-No sound found for block type 'normal'

16:27:41[Sound][inform]-No sound found for block type 'normal'

16:27:42[Sound][inform]-No sound found for block type 'normal'

16:27:42[Sound][inform]-No sound found for block type 'normal'

16:27:42[Sound][inform]-No sound found for block type 'normal'

16:27:43[Sound][inform]-No sound found for block type 'normal'

16:27:43[Sound][inform]-No sound found for block type 'normal'

16:27:43[Sound][inform]-No sound found for block type 'normal'

16:27:43[Sound][inform]-No sound found for block type 'normal'

16:27:44[Sound][inform]-No sound found for block type 'normal'

16:27:44[Sound][inform]-No sound found for block type 'normal'

16:27:45[Sound][inform]-No sound found for block type 'normal'

16:27:45[Sound][inform]-No sound found for block type 'normal'

16:27:46[Sound][inform]-No sound found for block type 'normal'

16:27:46[Sound][inform]-No sound found for block type 'normal'

16:27:47[Sound][inform]-No sound found for block type 'normal'

16:27:47[Sound][inform]-No sound found for block type 'normal'

16:27:48[Sound][inform]-No sound found for block type 'normal'

16:27:48[Sound][inform]-No sound found for block type 'normal'

16:27:48[Sound][inform]-No sound found for block type 'normal'

16:27:49[Sound][inform]-No sound found for block type 'normal'

16:27:49[Sound][inform]-No sound found for block type 'normal'

16:27:50[Sound][inform]-No sound found for block type 'normal'

16:27:50[Sound][inform]-No sound found for block type 'normal'

16:27:50[Sound][inform]-No sound found for block type 'normal'

16:27:51[Sound][inform]-No sound found for block type 'normal'

16:27:51[Sound][inform]-No sound found for block type 'normal'

16:27:51[Sound][inform]-No sound found for block type 'normal'

16:27:52[Sound][inform]-No sound found for block type 'normal'

16:27:52[Sound][inform]-No sound found for block type 'normal'

16:27:52[Sound][inform]-No sound found for block type 'normal'

16:27:52[Sound][inform]-No sound found for block type 'normal'

16:27:52[Sound][inform]-No sound found for block type 'normal'

16:27:53[Sound][inform]-No sound found for block type 'normal'

16:27:53[Sound][inform]-No sound found for block type 'normal'

16:27:53[Sound][inform]-No sound found for block type 'normal'

16:27:54[Sound][inform]-No sound found for block type 'normal'

16:27:54[Sound][inform]-No sound found for block type 'normal'

16:27:54[Sound][inform]-No sound found for block type 'normal'

16:27:54[Sound][inform]-No sound found for block type 'normal'

16:27:54[Sound][inform]-No sound found for block type 'normal'

16:27:54[Sound][inform]-No sound found for block type 'normal'

16:27:55[Sound][inform]-No sound found for block type 'normal'

16:27:55[Sound][inform]-No sound found for block type 'normal'

16:27:55[Sound][inform]-No sound found for block type 'normal'

16:27:55[Sound][inform]-No sound found for block type 'normal'

16:27:56[Sound][inform]-No sound found for block type 'normal'

16:27:56[Sound][inform]-No sound found for block type 'normal'

16:27:56[Sound][inform]-No sound found for block type 'normal'

16:28:01[Sound][error]-sounds.json | individual_event_sounds | events | chest.close | Event name 'chest.close' is not a valid LevelSoundEvent

